时间,收盘价,代码,成交量,成交笔数,收益率,净价,全价
2018-06-28,100.5368,130309.IB,0.0,,3.905280113220215,100.5368,0
2018-06-29,100.5368,130309.IB,0.0,,3.905179977416992,100.5368,0
2018-07-02,100.5368,130309.IB,0.0,,3.90488076210022,100.5368,0
2018-07-03,100.5368,130309.IB,0.0,,3.9047813415527344,100.5368,0
2018-07-04,100.5368,130309.IB,0.0,,3.904681921005249,100.5368,0
2018-07-05,100.5368,130309.IB,0.0,,3.904582977294922,100.5368,0
2018-07-06,100.5368,130309.IB,0.0,,3.904483795166016,100.5368,0
2018-07-09,100.5368,130309.IB,0.0,,3.904187917709351,100.5368,0
2018-07-10,100.5368,130309.IB,0.0,,3.9040894508361816,100.5368,0
2018-07-11,100.5368,130309.IB,0.0,,3.903991222381592,100.5368,0
2018-07-12,100.5368,130309.IB,0.0,,3.903893232345581,100.5368,0
2018-07-13,100.5368,130309.IB,0.0,,3.9037952423095694,100.5368,0
2018-07-16,100.5368,130309.IB,0.0,,3.9035024642944336,100.5368,0
2018-07-17,100.5368,130309.IB,0.0,,3.90340518951416,100.5368,0
2018-07-18,100.5368,130309.IB,0.0,,3.903308153152466,100.5368,0
2018-07-19,100.5368,130309.IB,0.0,,3.903211355209351,100.5368,0
2018-07-20,100.5368,130309.IB,0.0,,3.9031145572662354,100.5368,0
2018-07-23,100.5368,130309.IB,0.0,,3.902825117111206,100.5368,0
2018-07-24,100.5368,130309.IB,0.0,,3.902728796005249,100.5368,0
2018-07-25,100.5368,130309.IB,0.0,,3.90263295173645,100.5368,0
2018-07-26,100.5368,130309.IB,0.0,,3.9025371074676514,100.5368,0
2018-07-27,100.5368,130309.IB,0.0,,3.902441263198853,100.5368,0
2018-07-30,100.5368,130309.IB,0.0,,3.90215516090393,100.5368,0
2018-07-31,100.5368,130309.IB,0.0,,3.902060270309448,100.5368,0
2018-08-01,100.5368,130309.IB,0.0,,3.901965379714966,100.5368,0
2018-08-02,100.5368,130309.IB,0.0,,3.9018707275390634,100.5368,0
2018-08-03,100.5368,130309.IB,0.0,,3.901776075363159,100.5368,0
2018-08-06,100.5368,130309.IB,0.0,,3.9014933109283447,100.5368,0
2018-08-07,100.5368,130309.IB,0.0,,3.901399612426758,100.5368,0
2018-08-08,100.5368,130309.IB,0.0,,3.901305675506592,100.5368,0
2018-08-09,100.5368,130309.IB,0.0,,3.901212215423584,100.5368,0
2018-08-10,100.5368,130309.IB,0.0,,3.901118755340576,100.5368,0
2018-08-13,100.5368,130309.IB,0.0,,3.900839567184448,100.5368,0
2018-08-14,100.5368,130309.IB,0.0,,3.9007468223571777,100.5368,0
2018-08-15,100.5368,130309.IB,0.0,,3.9006540775299072,100.5368,0
